Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
252,F-Zero,Nintendo,Nintendo,5000000,8/23/1991,4/21/2021,Racing
253,Close Combat,Microsoft,Atomic Games,5000000,7/1/1996,8/16/2021,Strategy
254,Danganronpa,NIS America,Spike Chunsoft,5000000,2/11/2014,10/20/2021,Adventure
255,Asterix,Atari,Atari,5000000,1/1/1983,9/21/2022,Action-Adventure
256,Darksiders,THQ,Vigil Games,4950000,1/5/2010,3/19/2020,Action-Adventure
257,Ys,Nihon Falcom Corp,Nihon Falcom,4800000,6/21/1987,2/9/2021,Role-Playing
258,Wizardry,Sirtech,Sir-Tech,4600000,9/1/1981,4/6/2021,Role-Playing
259,Ghosts 'n Goblins,Capcom,Capcom,4500000,9/19/1985,2/3/2020,Platform
260,This War of Mine,11 bit studios,11 bit studios,4500000,11/14/2014,3/14/2020,Strategy
261,Alan Wake,Microsoft Game Studios,Remedy Entertainment,4500000,5/18/2010,3/19/2020,Action-Adventure
262,Might and Magic,New World Computing,New World Computing,4500000,7/31/1990,3/14/2021,Role-Playing
263,Dino Crisis,Capcom,Capcom,4400000,8/31/1999,2/4/2020,Action-Adventure
264,Perfect Dark,Rare,Rare,4200000,5/22/2000,2/26/2021,Shooter
265,Bayonetta,Sega,PlatinumGames,4160000,1/5/2010,11/24/2020,Action
266,Sengoku BASARA,Capcom,Capcom,4100000,10/12/2005,2/4/2020,Action
267,Sakura Wars,Sega,Red Entertainment,4100000,3/30/2010,2/8/2020,Role-Playing
268,Okami,Capcom,Clover Studio,4000000,9/19/2006,2/4/2020,Action-Adventure
269,Risk of Rain,Chucklefish,Hopoo Games,4000000,11/8/2013,3/4/2020,Action-Adventure
270,God Eater,Bandai Namco Entertainment,Shift,4000000,3/15/2011,3/12/2020,Role-Playing
271,Company of Heroes,THQ,Relic Entertainment,4000000,9/12/2006,11/16/2020,Strategy
272,Zombie Army,Rebellion Developments,Rebellion Developments,4000000,2/28/2013,12/28/2020,Shooter
273,Monster Rancher,Tecmo,Tecmo,4000000,11/30/1997,1/23/2021,Role-Playing
274,Turok,Acclaim Entertainment,Iguana Entertainment,4000000,3/4/1997,4/15/2021,Shooter
275,S.T.A.L.K.E.R.,THQ,GSC Game World,4000000,3/20/2007,7/8/2021,Shooter
276,Octopath Traveler,Square Enix,Square Enix,4000000,7/13/2018,6/7/2023,Role-Playing
277,Remnant,Perfect World Entertainment,Gunfire Games,4000000,8/20/2019,8/2/2023,Shooter
278,Divinity,CDV Software Entertainment,Larian Studios,3980000,9/22/2002,3/15/2020,Role-Playing
279,Homefront,THQ,Kaos Studios,3800000,3/15/2011,2/14/2021,Shooter
280,Army of Two,Electronic Arts,EA Montreal,3600000,3/6/2008,8/15/2021,Shooter
281,Legacy of Kain,Crystal Dynamics,Silicon Knights,3500000,11/1/1996,2/28/2020,Action-Adventure
282,Drawn to Life,THQ,5th Cell,3500000,9/10/2007,3/1/2020,Action-Adventure
283,A Way Out,Electronic Arts,Hazelight,3500000,3/23/2018,3/11/2020,Action-Adventure
284,Croc,Fox Interactive,Argonaut Software,3500000,9/29/1997,6/26/2023,Platform
285,Star Ocean,Enix,tri-Ace,3440000,7/19/1996,1/15/2021,Role-Playing
286,Spintires,IMGN PRO,Saber Interactive,3390000,6/13/2014,3/4/2020,Simulation
287,Mario Baseball,Nintendo,Namco,3370000,8/29/2005,2/21/2020,Sports
288,Breath of Fire,Capcom,Capcom,3300000,8/10/1994,2/3/2020,Role-Playing
289,Commandos,Eidos Interactive,Pyro Studios,3300000,8/28/1998,2/12/2020,Strategy
290,Final Fight,Capcom,Capcom,3200000,12/1/1989,2/3/2020,Action
291,Front Mission,Square,G-Craft,3180000,2/29/2000,2/29/2020,Role-Playing
